Phenotype,Trait_type,Trait_category,EWAS_specific_loci,Common_loci,haEWAS_specific_loci
BMI,Continuous,Body weights and measures,7,2,2
Birth Weight(Kg),Continuous,Body weights and measures,131,320,530
Waist Circumference(CM),Continuous,Body weights and measures,0,0,86
Breast Cancer,Binary,Cancer,1885,291,3573
Colorectal Cancer,Binary,Cancer,554,157,1534
Liver Cancer,Binary,Cancer,13447,827,955
PSA Amount,Continuous,Cancer,18,0,0
Atherosclerosis,Binary,Cardiovascular disease,0,4,2
Preeclampsia,Binary,Cardiovascular disease,4,13,83
Adolescent Victimization,Binary,Environment,63,44,24
Alcohol Use in Pregnancy,Binary,Environment,577,331,1136
Smoking Status,Binary,Environment,65,32,30
Chronic Stress,Continuous,Environment,599,490,2432
Total PBB Exposure,Continuous,Environment,239,176,9116
War Trauma,Continuous,Environment,164,133,65
Allergy,Binary,Immune system disease,143,15,47
Arthritis,Binary,Immune system disease,114,57,182
Inflammatory Bowel Disease,Binary,Immune system disease,448,264,673
Psoriasis,Binary,Immune system disease,27,11,95
Systemic Lupus Erythematosus,Binary,Immune system disease,100,68,3338
Ulcerative Colitis,Binary,Immune system disease,9,74,2708
SLEDAI Score,Continuous,Immune system disease,81,40,1782
COVID19,Binary,Infection,210,327,1513
HCV Status,Binary,Infection,67,122,109
HIV,Binary,Infection,44,16,113
Viral Load(log10),Continuous,Infection,121,392,206
Diabetes,Binary,Metabolic disease,164,193,75
Gestational Diabetes Mellitus,Binary,Metabolic disease,8,16,37
HOMA-IR,Continuous,Metabolic disease,9,4,91
Huntington's Disease,Binary,Neurological,8819,4648,6736
Parkinson's Disease,Binary,Neurological,1419,1760,1956
Sporadic Creutzfeldt-Jakob Disease,Binary,Neurological,197,103,12
Braak Stage,Continuous,Neurological,799,2952,400
Edematous Severe Acute Malnutrition,Binary,Nutritional,96,183,34
Zygosity,Binary,Other trait,152,298,180
First Episode Psychosis,Binary,Psychiatric,40,100,186
Intellectual Disability,Binary,Psychiatric,51,16,124
Schizophrenia,Binary,Psychiatric,93,9,3419
Behavior Score Index,Continuous,Psychiatric,0,0,50
Assisted Reproductive Technologies(ART),Binary,Reproduction,11,5,43
Birth Mode,Binary,Reproduction,8,11,11
Parity,Binary,Reproduction,64,95,38
Gestational Age(Weeks),Continuous,Reproduction,1421,2643,3760
Postmenstrual Age(Weeks),Continuous,Reproduction,170,326,2320
Asthma,Binary,Respiratory,2,0,10
Idiopathic Pulmonary Fibrosis,Binary,Respiratory,24,77,1934
