Phenotype,Trait_type,Trait_category,EWAS_specific_loci,Common_loci,haEWAS_specific_loci,Gain_score
BMI,Continuous,Body weights and measures,7,2,2,-1.8073549220576042
Birth Weight(Kg),Continuous,Body weights and measures,131,320,530,2.0164255479131112
Waist Circumference(CM),Continuous,Body weights and measures,0,0,86,inf
Breast Cancer,Binary,Cancer,1885,291,3573,0.9225713904292435
Colorectal Cancer,Binary,Cancer,554,157,1534,1.469340601453745
Liver Cancer,Binary,Cancer,13447,827,955,-3.8156398028000202
PSA Amount,Continuous,Cancer,18,0,0,-inf
Atherosclerosis,Binary,Cardiovascular disease,0,4,2,inf
Preeclampsia,Binary,Cardiovascular disease,4,13,83,4.3750394313469245
Adolescent Victimization,Binary,Environment,63,44,24,-1.3923174227787602
Alcohol Use in Pregnancy,Binary,Environment,577,331,1136,0.9773196108591996
Smoking Status,Binary,Environment,65,32,30,-1.1154772174199359
Chronic Stress,Continuous,Environment,599,490,2432,2.0215153206547996
Total PBB Exposure,Continuous,Environment,239,176,9116,5.253318401284549
War Trauma,Continuous,Environment,164,133,65,-1.3351841915896292
Allergy,Binary,Immune system disease,143,15,47,-1.605282485100752
Arthritis,Binary,Immune system disease,114,57,182,0.6749046260339546
Inflammatory Bowel Disease,Binary,Immune system disease,448,264,673,0.587107772552713
Psoriasis,Binary,Immune system disease,27,11,95,1.8149681061674794
Systemic Lupus Erythematosus,Binary,Immune system disease,110,58,677,2.621652310050337
Ulcerative Colitis,Binary,Immune system disease,9,74,2708,8.233087022132684
SLEDAI Score,Continuous,Immune system disease,81,40,1782,4.459431618637297
COVID19,Binary,Infection,210,327,1513,2.8489507545506148
HCV Status,Binary,Infection,67,122,109,0.7020951343191539
HIV,Binary,Infection,44,16,113,1.3607473437778905
Viral Load(log10),Continuous,Infection,121,392,206,0.7676372899086239
Diabetes,Binary,Metabolic disease,164,193,75,-1.1287333141222027
Gestational Diabetes Mellitus,Binary,Metabolic disease,8,16,37,2.2094533656289497
HOMA-IR,Continuous,Metabolic disease,9,4,91,3.3378696387563838
Huntington's Disease,Binary,Neurological,8819,4648,6736,-0.38872293723874723
Parkinson's Disease,Binary,Neurological,1419,1760,1956,0.4630317808916825
Sporadic Creutzfeldt-Jakob Disease,Binary,Neurological,197,103,12,-4.03708931873522
Braak Stage,Continuous,Neurological,799,2952,400,-0.998195503153252
Edematous Severe Acute Malnutrition,Binary,Nutritional,96,183,34,-1.4974996594708165
Zygosity,Binary,Other trait,152,298,180,0.24392558288608912
First Episode Psychosis,Binary,Psychiatric,40,100,186,2.2172307162206693
Intellectual Disability,Binary,Psychiatric,51,16,124,1.2817709684153795
Schizophrenia,Binary,Psychiatric,93,9,3419,5.200199896325363
Behavior Score Index,Continuous,Psychiatric,0,0,50,inf
Assisted Reproductive Technologies(ART),Binary,Reproduction,11,5,43,1.9668331360648008
Birth Mode,Binary,Reproduction,8,11,11,0.4594316186372973
Parity,Binary,Reproduction,64,95,38,-0.7520724865564145
Gestational Age(Weeks),Continuous,Reproduction,1421,2643,3760,1.4038261073222194
Postmenstrual Age(Weeks),Continuous,Reproduction,170,326,2320,3.7705181538772328
Asthma,Binary,Respiratory,2,0,10,2.321928094887362
Idiopathic Pulmonary Fibrosis,Binary,Respiratory,24,77,1934,6.332409578755685
