Sample,Cohort,Method,Disease,Score
GSM3004024,GSE110607,EWAS,Normal,-0.2889439530580026
GSM3004026,GSE110607,EWAS,Normal,0.2800418873218607
GSM3004028,GSE110607,EWAS,Normal,1.2365940013263779
GSM3004030,GSE110607,EWAS,Normal,-0.0344369990613805
GSM3004032,GSE110607,EWAS,Normal,1.4311369574927864
GSM3004034,GSE110607,EWAS,Normal,0.8202289319118203
GSM3004036,GSE110607,EWAS,Normal,1.712478217179077
GSM3004038,GSE110607,EWAS,Normal,0.504920360282818
GSM3004040,GSE110607,EWAS,Normal,-0.5026374368067577
GSM3004042,GSE110607,EWAS,Normal,1.6120524293455962
GSM3004044,GSE110607,EWAS,Normal,0.24047438469577045
GSM3004046,GSE110607,EWAS,Normal,1.573228694299429
GSM3004048,GSE110607,EWAS,Normal,-1.0450922799815598
GSM3004050,GSE110607,EWAS,Normal,-0.264233789108434
GSM3004052,GSE110607,EWAS,Normal,0.3972448708802969
GSM3004054,GSE110607,EWAS,Normal,1.2542258219808773
GSM3004056,GSE110607,EWAS,Normal,0.052430300375104634
GSM3004058,GSE110607,EWAS,Normal,1.2152942526713084
GSM3004060,GSE110607,EWAS,Normal,0.7981861864805223
GSM3004062,GSE110607,EWAS,Normal,1.6939256348308158
GSM3004064,GSE110607,EWAS,Normal,0.6869966998356357
GSM3004066,GSE110607,EWAS,Normal,-1.0115271972793527
GSM3004068,GSE110607,EWAS,Normal,1.5001403764960157
GSM3004070,GSE110607,EWAS,Normal,0.5335566032217
GSM3004072,GSE110607,EWAS,Normal,1.7094494325260674
GSM3004074,GSE110607,EWAS,Normal,-1.0681531323655078
GSM3004076,GSE110607,EWAS,Normal,-0.7423444198885729
GSM3004078,GSE110607,EWAS,Normal,0.4774714037133331
GSM3004080,GSE110607,EWAS,Normal,1.308988089056621
GSM3004082,GSE110607,EWAS,Normal,0.17565512677472456
GSM3004084,GSE110607,EWAS,Normal,1.0719146190446618
GSM3004086,GSE110607,EWAS,Normal,0.8173800473502306
GSM3004088,GSE110607,EWAS,Normal,1.6204781808673987
GSM3004090,GSE110607,EWAS,Normal,0.29095998377929383
GSM3004092,GSE110607,EWAS,Normal,-0.9776530807215018
GSM3004094,GSE110607,EWAS,Normal,1.4387195052487303
