Region,Annotation_context,Loci_category,log2_OR,P_value
OpenSea,CpG island context,EWAS-specific,0.15195742457842354,0.24584493788075906
OpenSea,CpG island context,Common,0.3098883543270976,2.1034062794970026e-08
OpenSea,CpG island context,haEWAS-specific,-0.15938217854638978,0.31852268178582643
Shelf,CpG island context,EWAS-specific,-0.2919120399614776,0.193627039364941
Shelf,CpG island context,Common,-0.19203006661824143,0.041030827177036
Shelf,CpG island context,haEWAS-specific,-0.32517029042274953,0.23385473736566498
Shore,CpG island context,EWAS-specific,0.16795322986271297,0.2500779702743939
Shore,CpG island context,Common,-0.04182346209102973,0.513636925441554
Shore,CpG island context,haEWAS-specific,0.058620444266620886,0.7687279337288443
Island,CpG island context,EWAS-specific,-0.21342017549557302,0.13555527732015668
Island,CpG island context,Common,-0.25733940941970995,3.564071814283466e-05
Island,CpG island context,haEWAS-specific,0.2680045164268612,0.10022833488577447
3'UTR,Gene region,EWAS-specific,-0.19417046017495704,0.5840398516725231
3'UTR,Gene region,Common,-0.11298080864960669,0.44238081921174494
3'UTR,Gene region,haEWAS-specific,-0.8381351526806509,0.05706913811426713
Gene body,Gene region,EWAS-specific,0.19047008194094203,0.18216199488251417
Gene body,Gene region,Common,0.09284320735040791,0.140210743939806
Gene body,Gene region,haEWAS-specific,-0.39091956680465034,0.022047136661946482
1stExon,Gene region,EWAS-specific,0.12375573189759131,0.8801430213856578
1stExon,Gene region,Common,0.4216594784808669,0.014965544012678742
1stExon,Gene region,haEWAS-specific,0.6740390534639935,0.11950667416295054
5'UTR,Gene region,EWAS-specific,-0.07086003271153313,0.7695726112284079
5'UTR,Gene region,Common,0.2710184590608455,0.00226657435637986
5'UTR,Gene region,haEWAS-specific,0.2433989790919195,0.30973133379422413
TSS1500,Gene region,EWAS-specific,-0.11730300097342322,0.508848717458533
TSS1500,Gene region,Common,-0.15800919901270158,0.04225605310932021
TSS1500,Gene region,haEWAS-specific,0.47423608552808005,0.012266383279885773
TSS200,Gene region,EWAS-specific,-0.06443168021112297,0.777837796996138
TSS200,Gene region,Common,-0.3241429034948691,0.0005887073902727551
TSS200,Gene region,haEWAS-specific,-0.016504355893526692,1.0
