CpG,Gene,Measure,Blood_sample,Braak_stage,Value
cg03605404,CPNE1,h_m,GSM1443250,0,0.0701883865512076
cg03605404,CPNE1,h_m,GSM1443272,1,
cg03605404,CPNE1,h_m,GSM1443658,1,
cg03605404,CPNE1,h_m,GSM1443675,1,0.0692544523459412
cg03605404,CPNE1,h_m,GSM1443253,2,0.0719454900755415
cg03605404,CPNE1,h_m,GSM1443266,2,0.0724488745587073
cg03605404,CPNE1,h_m,GSM1443712,2,
cg03605404,CPNE1,h_m,GSM1443278,3,0.0707043164015331
cg03605404,CPNE1,h_m,GSM1443322,3,
cg03605404,CPNE1,h_m,GSM1443372,3,
cg03605404,CPNE1,h_m,GSM1443501,3,0.0702149254061757
cg03605404,CPNE1,h_m,GSM1443519,3,
cg03605404,CPNE1,h_m,GSM1443543,3,
cg03605404,CPNE1,h_m,GSM1443553,3,0.0769067677860273
cg03605404,CPNE1,h_m,GSM1443633,3,0.0660628313029865
cg03605404,CPNE1,h_m,GSM1443638,3,
cg03605404,CPNE1,h_m,GSM1443722,3,0.0763618205504834
cg03605404,CPNE1,h_m,GSM1443284,4,0.0753930983539172
cg03605404,CPNE1,h_m,GSM1443548,4,0.0668550317442115
cg03605404,CPNE1,h_m,GSM1443576,4,0.0693553724814999
cg03605404,CPNE1,h_m,GSM1443590,4,0.0746099533080751
cg03605404,CPNE1,h_m,GSM1443690,4,0.0760543613646374
cg03605404,CPNE1,h_m,GSM1443305,5,0.0659423183433944
cg03605404,CPNE1,h_m,GSM1443357,5,0.0638338372450063
cg03605404,CPNE1,h_m,GSM1443363,5,0.071216432781228
cg03605404,CPNE1,h_m,GSM1443399,5,0.07633279068464
cg03605404,CPNE1,h_m,GSM1443470,5,
cg03605404,CPNE1,h_m,GSM1443559,5,
cg03605404,CPNE1,h_m,GSM1443601,5,0.0757826847926363
cg03605404,CPNE1,h_m,GSM1443617,5,0.0802869275019065
cg03605404,CPNE1,h_m,GSM1443649,5,0.0718924002547079
cg03605404,CPNE1,h_m,GSM1443662,5,0.0728812876483845
cg03605404,CPNE1,h_m,GSM1443696,5,0.0783915024535703
cg03605404,CPNE1,h_m,GSM1443699,5,0.0739185169642275
cg03605404,CPNE1,h_m,GSM1443707,5,
cg03605404,CPNE1,h_m,GSM1443740,5,
cg03605404,CPNE1,h_m,GSM1443290,6,0.0730320162807245
cg03605404,CPNE1,h_m,GSM1443294,6,0.0707383756735522
cg03605404,CPNE1,h_m,GSM1443303,6,
cg03605404,CPNE1,h_m,GSM1443316,6,0.0693036116536657
cg03605404,CPNE1,h_m,GSM1443324,6,0.0713019146091421
cg03605404,CPNE1,h_m,GSM1443331,6,0.0759688666448526
cg03605404,CPNE1,h_m,GSM1443348,6,0.0734476687478138
cg03605404,CPNE1,h_m,GSM1443375,6,0.0772491055511694
cg03605404,CPNE1,h_m,GSM1443385,6,0.0775575852882376
cg03605404,CPNE1,h_m,GSM1443393,6,0.0756570818619203
cg03605404,CPNE1,h_m,GSM1443400,6,
cg03605404,CPNE1,h_m,GSM1443407,6,0.0656432526860486
cg03605404,CPNE1,h_m,GSM1443414,6,0.075803272513277
cg03605404,CPNE1,h_m,GSM1443425,6,0.0792735458743238
cg03605404,CPNE1,h_m,GSM1443433,6,
cg03605404,CPNE1,h_m,GSM1443439,6,0.0774493529771498
cg03605404,CPNE1,h_m,GSM1443445,6,
cg03605404,CPNE1,h_m,GSM1443451,6,0.0718579106573581
cg03605404,CPNE1,h_m,GSM1443512,6,0.0700301887829869
cg03605404,CPNE1,h_m,GSM1443561,6,0.0721433667517095
cg03605404,CPNE1,h_m,GSM1443564,6,0.0800733909374251
cg03605404,CPNE1,h_m,GSM1443570,6,
cg03605404,CPNE1,h_m,GSM1443584,6,0.0758203493300753
cg03605404,CPNE1,h_m,GSM1443593,6,0.0786188224715161
cg03605404,CPNE1,h_m,GSM1443606,6,
cg03605404,CPNE1,h_m,GSM1443607,6,
cg03605404,CPNE1,h_m,GSM1443613,6,0.0600909728727169
cg03605404,CPNE1,h_m,GSM1443630,6,0.0798652690993588
cg03605404,CPNE1,h_m,GSM1443644,6,0.0666771178766575
cg03605404,CPNE1,h_m,GSM1443650,6,0.0767071449096444
cg03605404,CPNE1,h_m,GSM1443668,6,
cg03605404,CPNE1,h_m,GSM1443674,6,0.0774649983238104
cg03605404,CPNE1,h_m,GSM1443684,6,
cg03605404,CPNE1,h_m,GSM1443721,6,
cg03605404,CPNE1,h_m,GSM1443736,6,
cg03605404,CPNE1,m_bar,GSM1443250,0,0.0690368033648791
cg03605404,CPNE1,m_bar,GSM1443272,1,0.0824028044209062
cg03605404,CPNE1,m_bar,GSM1443658,1,0.0852643136247265
cg03605404,CPNE1,m_bar,GSM1443675,1,0.0680426153027678
cg03605404,CPNE1,m_bar,GSM1443253,2,0.0709104155471321
cg03605404,CPNE1,m_bar,GSM1443266,2,0.0714479384308101
cg03605404,CPNE1,m_bar,GSM1443712,2,0.0947965882586651
cg03605404,CPNE1,m_bar,GSM1443278,3,0.0695865161202724
cg03605404,CPNE1,m_bar,GSM1443322,3,0.0815963156245683
cg03605404,CPNE1,m_bar,GSM1443372,3,0.0809822355130087
cg03605404,CPNE1,m_bar,GSM1443501,3,0.0690650713335404
cg03605404,CPNE1,m_bar,GSM1443519,3,0.0814032607889294
cg03605404,CPNE1,m_bar,GSM1443543,3,0.0855532156944013
cg03605404,CPNE1,m_bar,GSM1443553,3,0.0762230604437899
cg03605404,CPNE1,m_bar,GSM1443633,3,0.0646537827416915
cg03605404,CPNE1,m_bar,GSM1443638,3,0.0806886545588533
cg03605404,CPNE1,m_bar,GSM1443722,3,0.0756378891241276
cg03605404,CPNE1,m_bar,GSM1443284,4,0.0745986601997203
cg03605404,CPNE1,m_bar,GSM1443548,4,0.0654936828674761
cg03605404,CPNE1,m_bar,GSM1443576,4,0.068149990647071
cg03605404,CPNE1,m_bar,GSM1443590,4,0.0737594458132661
cg03605404,CPNE1,m_bar,GSM1443690,4,0.0753079139261381
cg03605404,CPNE1,m_bar,GSM1443305,5,0.0645260855762108
cg03605404,CPNE1,m_bar,GSM1443357,5,0.0622949786368077
cg03605404,CPNE1,m_bar,GSM1443363,5,0.0701325164202638
cg03605404,CPNE1,m_bar,GSM1443399,5,0.0756067278295509
cg03605404,CPNE1,m_bar,GSM1443470,5,0.0813063958999797
cg03605404,CPNE1,m_bar,GSM1443559,5,0.0871139429738361
cg03605404,CPNE1,m_bar,GSM1443601,5,0.0750164487492117
cg03605404,CPNE1,m_bar,GSM1443617,5,0.0798617999415162
cg03605404,CPNE1,m_bar,GSM1443649,5,0.0708537450780584
cg03605404,CPNE1,m_bar,GSM1443662,5,0.071909948114224
cg03605404,CPNE1,m_bar,GSM1443696,5,0.0778194451284769
cg03605404,CPNE1,m_bar,GSM1443699,5,0.0730191953798204
cg03605404,CPNE1,m_bar,GSM1443707,5,0.0862806596380209
cg03605404,CPNE1,m_bar,GSM1443740,5,0.0989547977869995
cg03605404,CPNE1,m_bar,GSM1443290,6,0.0720710524092715
cg03605404,CPNE1,m_bar,GSM1443294,6,0.0696228180526609
cg03605404,CPNE1,m_bar,GSM1443303,6,0.0874046289848211
cg03605404,CPNE1,m_bar,GSM1443316,6,0.06809491732744
cg03605404,CPNE1,m_bar,GSM1443324,6,0.0702236881873639
cg03605404,CPNE1,m_bar,GSM1443331,6,0.0752161810554188
cg03605404,CPNE1,m_bar,GSM1443348,6,0.0725154752819469
cg03605404,CPNE1,m_bar,GSM1443375,6,0.0765908742140409
cg03605404,CPNE1,m_bar,GSM1443385,6,0.0769224474048786
cg03605404,CPNE1,m_bar,GSM1443393,6,0.0748817309381366
cg03605404,CPNE1,m_bar,GSM1443400,6,0.0815392838517153
cg03605404,CPNE1,m_bar,GSM1443407,6,0.0642092736542783
cg03605404,CPNE1,m_bar,GSM1443414,6,0.0750385325438633
cg03605404,CPNE1,m_bar,GSM1443425,6,0.0787692476735924
cg03605404,CPNE1,m_bar,GSM1443433,6,0.0820338778132632
cg03605404,CPNE1,m_bar,GSM1443439,6,0.0768060977819349
cg03605404,CPNE1,m_bar,GSM1443445,6,0.082390977250435
cg03605404,CPNE1,m_bar,GSM1443451,6,0.0708169313476352
cg03605404,CPNE1,m_bar,GSM1443512,6,0.0688683178002761
cg03605404,CPNE1,m_bar,GSM1443561,6,0.0711216712779688
cg03605404,CPNE1,m_bar,GSM1443564,6,0.0796314629828208
cg03605404,CPNE1,m_bar,GSM1443570,6,0.0802957304802447
cg03605404,CPNE1,m_bar,GSM1443584,6,0.0750568507401632
cg03605404,CPNE1,m_bar,GSM1443593,6,0.0780641257923585
cg03605404,CPNE1,m_bar,GSM1443606,6,0.0846567260509148
cg03605404,CPNE1,m_bar,GSM1443607,6,0.0849722935520528
cg03605404,CPNE1,m_bar,GSM1443613,6,0.0583486285847141
cg03605404,CPNE1,m_bar,GSM1443630,6,0.0794070273407584
cg03605404,CPNE1,m_bar,GSM1443644,6,0.0653049848343525
cg03605404,CPNE1,m_bar,GSM1443650,6,0.0760086558763428
cg03605404,CPNE1,m_bar,GSM1443668,6,0.0803905427395425
cg03605404,CPNE1,m_bar,GSM1443674,6,0.0768229155234163
cg03605404,CPNE1,m_bar,GSM1443684,6,0.0814312025494051
cg03605404,CPNE1,m_bar,GSM1443721,6,0.0909563891015982
cg03605404,CPNE1,m_bar,GSM1443736,6,0.0833895092311338
cg10091752,SLC22A23,h_m,GSM1443250,0,0.349281797208899
cg10091752,SLC22A23,h_m,GSM1443272,1,0.3497576773687681
cg10091752,SLC22A23,h_m,GSM1443658,1,0.349454126801014
cg10091752,SLC22A23,h_m,GSM1443675,1,0.349184393006223
cg10091752,SLC22A23,h_m,GSM1443253,2,0.3383156990012844
cg10091752,SLC22A23,h_m,GSM1443266,2,0.34777490642974
cg10091752,SLC22A23,h_m,GSM1443712,2,0.3500173196964073
cg10091752,SLC22A23,h_m,GSM1443278,3,0.3480865425562777
cg10091752,SLC22A23,h_m,GSM1443322,3,0.3474198722892547
cg10091752,SLC22A23,h_m,GSM1443372,3,0.3397924225650099
cg10091752,SLC22A23,h_m,GSM1443501,3,0.3499748622375641
cg10091752,SLC22A23,h_m,GSM1443519,3,0.349731504262485
cg10091752,SLC22A23,h_m,GSM1443543,3,0.3316282158441507
cg10091752,SLC22A23,h_m,GSM1443553,3,0.3481250362214672
cg10091752,SLC22A23,h_m,GSM1443633,3,0.3455047589642493
cg10091752,SLC22A23,h_m,GSM1443638,3,0.3497048715436873
cg10091752,SLC22A23,h_m,GSM1443722,3,0.2925039347560537
cg10091752,SLC22A23,h_m,GSM1443284,4,0.3480520494911515
cg10091752,SLC22A23,h_m,GSM1443548,4,0.3471776501443396
cg10091752,SLC22A23,h_m,GSM1443576,4,0.3499731611239215
cg10091752,SLC22A23,h_m,GSM1443590,4,0.3454475765716998
cg10091752,SLC22A23,h_m,GSM1443690,4,0.3500045927182487
cg10091752,SLC22A23,h_m,GSM1443305,5,0.3451609296765809
cg10091752,SLC22A23,h_m,GSM1443357,5,0.3214855259553468
cg10091752,SLC22A23,h_m,GSM1443363,5,0.335294205651199
cg10091752,SLC22A23,h_m,GSM1443399,5,0.3498665192881153
cg10091752,SLC22A23,h_m,GSM1443470,5,0.344760799095933
cg10091752,SLC22A23,h_m,GSM1443559,5,0.3370070330011824
cg10091752,SLC22A23,h_m,GSM1443601,5,0.3452915498272683
cg10091752,SLC22A23,h_m,GSM1443617,5,0.3500271581988163
cg10091752,SLC22A23,h_m,GSM1443649,5,0.3199143169045441
cg10091752,SLC22A23,h_m,GSM1443662,5,0.3267184724391095
cg10091752,SLC22A23,h_m,GSM1443696,5,0.3495601508135063
cg10091752,SLC22A23,h_m,GSM1443699,5,0.350026814849358
cg10091752,SLC22A23,h_m,GSM1443707,5,0.3499063657216018
cg10091752,SLC22A23,h_m,GSM1443740,5,0.3493298791605144
cg10091752,SLC22A23,h_m,GSM1443290,6,0.3175149459782609
cg10091752,SLC22A23,h_m,GSM1443294,6,0.3464901736165071
cg10091752,SLC22A23,h_m,GSM1443303,6,0.3487468715331498
cg10091752,SLC22A23,h_m,GSM1443316,6,0.3482451494269774
cg10091752,SLC22A23,h_m,GSM1443324,6,0.3402461421418435
cg10091752,SLC22A23,h_m,GSM1443331,6,0.3436191041322203
cg10091752,SLC22A23,h_m,GSM1443348,6,0.3132215733827909
cg10091752,SLC22A23,h_m,GSM1443375,6,0.3094687710747334
cg10091752,SLC22A23,h_m,GSM1443385,6,0.3471507586592144
cg10091752,SLC22A23,h_m,GSM1443393,6,0.3498922714843757
cg10091752,SLC22A23,h_m,GSM1443400,6,0.3478754897052517
cg10091752,SLC22A23,h_m,GSM1443407,6,0.3416677463995742
