Method,Method_label,TopN,Median_C_index,Q25_C_index,Q75_C_index
beta,m,5,0.6302614743863838,0.6066183406205403,0.738171304170026
beta,m,10,0.6617340919443968,0.6181351527831866,0.7463413309241613
beta,m,20,0.6801056691310116,0.6402134018696112,0.7542743166758674
beta,m,30,0.6990711124629571,0.6429453754676526,0.7340672863919293
beta,m,40,0.694174248907102,0.6436405921182331,0.7504543883545935
beta,m,50,0.6908157003721996,0.6402488896448417,0.7560706566082398
beta,m,60,0.6936393201024313,0.629021342618578,0.7721428020009489
beta,m,70,0.6975902053694951,0.6284454915859023,0.7756474947984354
beta,m,80,0.7009274039415372,0.6332863233237146,0.7716931121679858
beta,m,90,0.7067877984276434,0.6342326745251149,0.7827279305142611
beta,m,100,0.7025417600238647,0.6398866639816052,0.7892443225096392
chalm+camda,hm,5,0.6699506052546517,0.643169154167684,0.7457422519297878
chalm+camda,hm,10,0.68246720476218,0.6639407054319506,0.7802036544464419
chalm+camda,hm,20,0.7059801588517972,0.6782776203403957,0.7911472216661306
chalm+camda,hm,30,0.7108440016027927,0.6880847382143576,0.8025811187816316
chalm+camda,hm,40,0.7227230546183288,0.6884764313048889,0.7975211314705932
chalm+camda,hm,50,0.7213133984512861,0.6880811161762529,0.7942046205604407
chalm+camda,hm,60,0.7387275463210322,0.6894639284174092,0.8123327139573752
chalm+camda,hm,70,0.7367937225397257,0.6884275036497167,0.812421532889784
chalm+camda,hm,80,0.7345135204284906,0.7120520606404607,0.8099986403341775
chalm+camda,hm,90,0.7384381718010857,0.7120514970592517,0.8124206861782737
chalm+camda,hm,100,0.7372530786004753,0.7053151722980189,0.8240649895034798
beta+chalm+camda,m + hm,5,0.6912411722657213,0.6574733283193442,0.7764656925698957
beta+chalm+camda,m + hm,10,0.7033824980475855,0.6730626811891954,0.7791304602812352
beta+chalm+camda,m + hm,20,0.7151427227465929,0.6924397771198327,0.8026103786758989
beta+chalm+camda,m + hm,30,0.7286965094436173,0.6989751905794539,0.8054401922634185
beta+chalm+camda,m + hm,40,0.7232836844260863,0.6917962544224336,0.7970983560968712
beta+chalm+camda,m + hm,50,0.7310127361052047,0.6983921887974239,0.8098369290807597
beta+chalm+camda,m + hm,60,0.7362336701893576,0.7066138728959762,0.8022892768859204
beta+chalm+camda,m + hm,70,0.7369244906941974,0.6976107213633835,0.7945653411356781
beta+chalm+camda,m + hm,80,0.74678743674817,0.7073989834246923,0.7920103216316139
beta+chalm+camda,m + hm,90,0.7403007253740181,0.7164378000610081,0.819633619398813
beta+chalm+camda,m + hm,100,0.7408494442525352,0.7066646470261363,0.8309332430753305
