Panel,Disease,Cohort_info,Comparison,Method,Scale,KS_Statistic
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE116379,Beta,Raw,0.04067733
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE147221,Beta,Raw,0.233235925
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE152027,Beta,Raw,0.198897965
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE157252,Beta,Raw,0.17619469
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE41169,Beta,Raw,0.096210087
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE80417,Beta,Raw,0.19576777
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE84727,Beta,Raw,0.225819989
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE147221,Beta,Raw,0.202549119
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE152027,Beta,Raw,0.188689192
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE157252,Beta,Raw,0.188705945
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE41169,Beta,Raw,0.059579913
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE80417,Beta,Raw,0.200631926
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE84727,Beta,Raw,0.194533681
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE152027,Beta,Raw,0.046726229
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE157252,Beta,Raw,0.169416717
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE41169,Beta,Raw,0.155688613
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE80417,Beta,Raw,0.052039565
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE84727,Beta,Raw,0.013816545
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE157252,Beta,Raw,0.124217982
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE41169,Beta,Raw,0.134379363
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE80417,Beta,Raw,0.038194985
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE84727,Beta,Raw,0.034585582
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE41169,Beta,Raw,0.14979114
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE80417,Beta,Raw,0.119813416
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE84727,Beta,Raw,0.158375194
d,Schizophrenia,"8 cohorts, N = 1,656",GSE41169 vs GSE80417,Beta,Raw,0.151791424
d,Schizophrenia,"8 cohorts, N = 1,656",GSE41169 vs GSE84727,Beta,Raw,0.145744109
d,Schizophrenia,"8 cohorts, N = 1,656",GSE80417 vs GSE84727,Beta,Raw,0.057228496
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE116379,CHALM,Raw,0.016461197
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE147221,CHALM,Raw,0.108075625
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE152027,CHALM,Raw,0.090782688
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE157252,CHALM,Raw,0.105800257
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE41169,CHALM,Raw,0.041481725
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE80417,CHALM,Raw,0.1043761
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE84727,CHALM,Raw,0.103803403
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE147221,CHALM,Raw,0.096737444
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE152027,CHALM,Raw,0.100161885
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE157252,CHALM,Raw,0.115250183
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE41169,CHALM,Raw,0.02590812
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE80417,CHALM,Raw,0.11385383
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE84727,CHALM,Raw,0.093219495
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE152027,CHALM,Raw,0.018975865
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE157252,CHALM,Raw,0.079686131
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE41169,CHALM,Raw,0.070929336
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE80417,CHALM,Raw,0.022253257
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE84727,CHALM,Raw,0.005697963
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE157252,CHALM,Raw,0.061039712
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE41169,CHALM,Raw,0.074377975
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE80417,CHALM,Raw,0.019471416
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE84727,CHALM,Raw,0.014544084
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE41169,CHALM,Raw,0.090412166
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE80417,CHALM,Raw,0.057437343
d,Schizophrenia,"8 cohorts, N = 1,656",GSE157252 vs GSE84727,CHALM,Raw,0.075319799
d,Schizophrenia,"8 cohorts, N = 1,656",GSE41169 vs GSE80417,CHALM,Raw,0.088914074
d,Schizophrenia,"8 cohorts, N = 1,656",GSE41169 vs GSE84727,CHALM,Raw,0.067337863
d,Schizophrenia,"8 cohorts, N = 1,656",GSE80417 vs GSE84727,CHALM,Raw,0.027187243
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE116379,CAMDA,Raw,0.030330995
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE147221,CAMDA,Raw,0.175781634
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE152027,CAMDA,Raw,0.155939095
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE157252,CAMDA,Raw,0.119795119
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE41169,CAMDA,Raw,0.070300925
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE80417,CAMDA,Raw,0.162898771
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116378 vs GSE84727,CAMDA,Raw,0.167923744
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE147221,CAMDA,Raw,0.150820252
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE152027,CAMDA,Raw,0.130021184
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE157252,CAMDA,Raw,0.08995257
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE41169,CAMDA,Raw,0.042047086
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE80417,CAMDA,Raw,0.136333374
d,Schizophrenia,"8 cohorts, N = 1,656",GSE116379 vs GSE84727,CAMDA,Raw,0.142754136
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE152027,CAMDA,Raw,0.023163386
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE157252,CAMDA,Raw,0.088273942
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE41169,CAMDA,Raw,0.113313054
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE80417,CAMDA,Raw,0.02282495
d,Schizophrenia,"8 cohorts, N = 1,656",GSE147221 vs GSE84727,CAMDA,Raw,0.00928038
d,Schizophrenia,"8 cohorts, N = 1,656",GSE152027 vs GSE157252,CAMDA,Raw,0.065133262
