Phenotype,Trait_type,Trait_category,Y_label,EWAS_specific_loci,Common_loci,haEWAS_specific_loci,Total_loci,haEWAS_share,case,control,Samples,Plot_order
Parkinson's Disease,Binary,Neurological,Parkinson's Disease | 1629 vs 1424,1419,1760,1956,5135,0.38091528724440116,1629.0,1424.0,3053,0
Huntington's Disease,Binary,Neurological,Huntington's Disease | 215 vs 135,8819,4648,6736,20203,0.33341582933227737,215.0,135.0,350,1
Braak Stage,Continuous,Neurological,Braak Stage | n=1030,799,2952,400,4151,0.0963623223319682,,,1030,2
Sporadic Creutzfeldt-Jakob Disease,Binary,Neurological,Sporadic Creutzfeldt-Jakob Disease | 114 vs 105,197,103,12,312,0.038461538461538464,114.0,105.0,219,3
Behavior Score Index,Continuous,Psychiatric,Behavior Score Index | n=536,0,0,50,50,1.0,,,536,4
Schizophrenia,Binary,Psychiatric,Schizophrenia | 2069 vs 2046,93,9,3419,3521,0.9710309571144561,2069.0,2046.0,4115,5
Intellectual Disability,Binary,Psychiatric,Intellectual Disability | 570 vs 150,51,16,124,191,0.6492146596858639,570.0,150.0,720,6
First Episode Psychosis,Binary,Psychiatric,First Episode Psychosis | 720 vs 724,40,100,186,326,0.5705521472392638,720.0,724.0,1444,7
Ulcerative Colitis,Binary,Immune system disease,Ulcerative Colitis | 284 vs 85,9,74,2708,2791,0.9702615549982085,284.0,85.0,369,8
SLEDAI Score,Continuous,Immune system disease,SLEDAI Score | n=440,81,40,1782,1903,0.9364161849710982,,,440,9
Systemic Lupus Erythematosus,Binary,Immune system disease,Systemic Lupus Erythematosus | 447 vs 381,110,58,677,845,0.8011834319526627,447.0,381.0,828,10
Psoriasis,Binary,Immune system disease,Psoriasis | 155 vs 62,27,11,95,133,0.7142857142857143,155.0,62.0,217,11
Arthritis,Binary,Immune system disease,Arthritis | 958 vs 696,114,57,182,353,0.5155807365439093,958.0,696.0,1654,12
Inflammatory Bowel Disease,Binary,Immune system disease,Inflammatory Bowel Disease | 688 vs 338,448,264,673,1385,0.48592057761732854,688.0,338.0,1026,13
Allergy,Binary,Immune system disease,Allergy | 194 vs 244,143,15,47,205,0.22926829268292684,194.0,244.0,438,14
COVID19,Binary,Infection,COVID19 | 575 vs 127,210,327,1513,2050,0.7380487804878049,575.0,127.0,702,15
HIV,Binary,Infection,HIV | 549 vs 263,44,16,113,173,0.653179190751445,549.0,263.0,812,16
HCV Status,Binary,Infection,HCV Status | 316 vs 475,67,122,109,298,0.36577181208053694,316.0,475.0,791,17
Viral Load(log10),Continuous,Infection,Viral Load(log10) | n=588,121,392,206,719,0.2865090403337969,,,588,18
Idiopathic Pulmonary Fibrosis,Binary,Respiratory,Idiopathic Pulmonary Fibrosis | 345 vs 202,24,77,1934,2035,0.9503685503685504,345.0,202.0,547,19
Asthma,Binary,Respiratory,Asthma | 251 vs 188,2,0,10,12,0.8333333333333334,251.0,188.0,439,20
Colorectal Cancer,Binary,Cancer,Colorectal Cancer | 548 vs 300,554,157,1534,2245,0.6832962138084633,548.0,300.0,848,21
Breast Cancer,Binary,Cancer,Breast Cancer | 1399 vs 481,1885,291,3573,5749,0.6214993911984693,1399.0,481.0,1880,22
Liver Cancer,Binary,Cancer,Liver Cancer | 1077 vs 282,13447,827,955,15229,0.06270930461619278,1077.0,282.0,1359,23
PSA Amount,Continuous,Cancer,PSA Amount | n=181,18,0,0,18,0.0,,,181,24
HOMA-IR,Continuous,Metabolic disease,HOMA-IR | n=332,9,4,91,104,0.875,,,332,25
Gestational Diabetes Mellitus,Binary,Metabolic disease,Gestational Diabetes Mellitus | 263 vs 496,8,16,37,61,0.6065573770491803,263.0,496.0,759,26
Diabetes,Binary,Metabolic disease,Diabetes | 259 vs 260,164,193,75,432,0.1736111111111111,259.0,260.0,519,27
Preeclampsia,Binary,Cardiovascular disease,Preeclampsia | 63 vs 182,4,13,83,100,0.83,63.0,182.0,245,28
Atherosclerosis,Binary,Cardiovascular disease,Atherosclerosis | 255 vs 136,0,4,2,6,0.3333333333333333,255.0,136.0,391,29
