Cohort,Method,Lambda
GSE110607,EWAS,1.0937701032421803
GSE110607,haEWAS(CAMDA),1.2089473437227578
GSE110607,haEWAS(CHALM),1.059714697288537
GSE118144,EWAS,1.1469284448367891
GSE118144,haEWAS(CAMDA),1.1613851452571176
GSE118144,haEWAS(CHALM),1.221662892073055
GSE59250,EWAS,1.0198213596223846
GSE59250,haEWAS(CAMDA),1.2940000000000023
GSE59250,haEWAS(CHALM),1.0256473718018817
GSE82218,EWAS,1.046860885866554
GSE82218,haEWAS(CAMDA),0.8866411096875618
GSE82218,haEWAS(CHALM),1.04616501351672
GSE96879,EWAS,1.0036364860054037
GSE96879,haEWAS(CAMDA),1.2910000000000017
GSE96879,haEWAS(CHALM),1.1698409723998335
