Panel,Cohort,Method,Lambda
c,GASPARONI,EWAS,0.9846005828860606
c,GASPARONI,haEWAS(CAMDA),0.8358948130448349
c,GASPARONI,haEWAS(CHALM),0.9569497703366775
c,ROSMAP,EWAS,0.9898939054892091
c,ROSMAP,haEWAS(CAMDA),0.8922029578800718
c,ROSMAP,haEWAS(CHALM),0.99599177025341
c,LONDON,EWAS,1.200547507364368
c,LONDON,haEWAS(CAMDA),1.040319686886356
c,LONDON,haEWAS(CHALM),1.1695513937546906
c,MtSinai,EWAS,1.2351129841985415
c,MtSinai,haEWAS(CAMDA),1.113679097397019
c,MtSinai,haEWAS(CHALM),1.2259996837138678
