Project,Model,TopN,C_index
TCGA-BLCA,m,5,0.603858994
TCGA-BLCA,m,10,0.677005499
TCGA-BLCA,m,20,0.687647144
TCGA-BLCA,m,30,0.699071112
TCGA-BLCA,m,40,0.694174249
TCGA-BLCA,m,50,0.683761913
TCGA-BLCA,m,60,0.689707485
TCGA-BLCA,m,70,0.697590205
TCGA-BLCA,m,80,0.700927404
TCGA-BLCA,m,90,0.69985364
TCGA-BLCA,m,100,0.698994651
TCGA-BLCA,hm,5,0.623193685
TCGA-BLCA,hm,10,0.682467205
TCGA-BLCA,hm,20,0.686333483
TCGA-BLCA,hm,30,0.710844002
TCGA-BLCA,hm,40,0.722723055
TCGA-BLCA,hm,50,0.728835039
TCGA-BLCA,hm,60,0.738727546
TCGA-BLCA,hm,70,0.738745299
TCGA-BLCA,hm,80,0.740890405
TCGA-BLCA,hm,90,0.738438172
TCGA-BLCA,hm,100,0.737253079
TCGA-BLCA,m+hm,5,0.626261853
TCGA-BLCA,m+hm,10,0.701517412
TCGA-BLCA,m+hm,20,0.709016113
TCGA-BLCA,m+hm,30,0.728380934
TCGA-BLCA,m+hm,40,0.735661671
TCGA-BLCA,m+hm,50,0.732340376
TCGA-BLCA,m+hm,60,0.742176048
TCGA-BLCA,m+hm,70,0.741810799
TCGA-BLCA,m+hm,80,0.744745276
TCGA-BLCA,m+hm,90,0.740300725
TCGA-BLCA,m+hm,100,0.740849444
TCGA-BRCA,m,5,0.66568305
TCGA-BRCA,m,10,0.661734092
TCGA-BRCA,m,20,0.680105669
TCGA-BRCA,m,30,0.640745522
TCGA-BRCA,m,40,0.633725584
TCGA-BRCA,m,50,0.611215074
TCGA-BRCA,m,60,0.627380997
TCGA-BRCA,m,70,0.622323781
TCGA-BRCA,m,80,0.640201914
TCGA-BRCA,m,90,0.627925699
TCGA-BRCA,m,100,0.638403554
TCGA-BRCA,hm,5,0.669950605
TCGA-BRCA,hm,10,0.707324711
TCGA-BRCA,hm,20,0.692139465
TCGA-BRCA,hm,30,0.728914075
TCGA-BRCA,hm,40,0.726556487
TCGA-BRCA,hm,50,0.732239229
TCGA-BRCA,hm,60,0.740169346
TCGA-BRCA,hm,70,0.74470058
TCGA-BRCA,hm,80,0.745572633
TCGA-BRCA,hm,90,0.743513226
TCGA-BRCA,hm,100,0.742222143
TCGA-BRCA,m+hm,5,0.691241172
TCGA-BRCA,m+hm,10,0.708577589
TCGA-BRCA,m+hm,20,0.701206504
TCGA-BRCA,m+hm,30,0.735583051
TCGA-BRCA,m+hm,40,0.723283684
TCGA-BRCA,m+hm,50,0.730948012
TCGA-BRCA,m+hm,60,0.733464334
TCGA-BRCA,m+hm,70,0.730536753
TCGA-BRCA,m+hm,80,0.748111704
TCGA-BRCA,m+hm,90,0.726868867
TCGA-BRCA,m+hm,100,0.729423806
TCGA-COAD,m,5,0.610045956
TCGA-COAD,m,10,0.635850667
TCGA-COAD,m,20,0.663041161
TCGA-COAD,m,30,0.699097297
TCGA-COAD,m,40,0.704184173
TCGA-COAD,m,50,0.723072989
TCGA-COAD,m,60,0.766619176
TCGA-COAD,m,70,0.769144167
TCGA-COAD,m,80,0.768195314
TCGA-COAD,m,90,0.776375943
TCGA-COAD,m,100,0.793413801
TCGA-COAD,hm,5,0.686262419
TCGA-COAD,hm,10,0.720139355
TCGA-COAD,hm,20,0.710227907
TCGA-COAD,hm,30,0.730430984
TCGA-COAD,hm,40,0.736560005
TCGA-COAD,hm,50,0.69433103
TCGA-COAD,hm,60,0.74981926
TCGA-COAD,hm,70,0.736793723
TCGA-COAD,hm,80,0.734037669
TCGA-COAD,hm,90,0.769703841
TCGA-COAD,hm,100,0.807418331
TCGA-COAD,m+hm,5,0.714104941
TCGA-COAD,m+hm,10,0.73604712
TCGA-COAD,m+hm,20,0.733812027
TCGA-COAD,m+hm,30,0.757621276
TCGA-COAD,m+hm,40,0.759590349
TCGA-COAD,m+hm,50,0.758824011
TCGA-COAD,m+hm,60,0.795922564
TCGA-COAD,m+hm,70,0.782378862
TCGA-COAD,m+hm,80,0.759345977
TCGA-COAD,m+hm,90,0.809919177
TCGA-COAD,m+hm,100,0.824517148
TCGA-GBM,m,5,0.601426908
TCGA-GBM,m,10,0.565641889
TCGA-GBM,m,20,0.588107291
TCGA-GBM,m,30,0.590064642
TCGA-GBM,m,40,0.576193659
TCGA-GBM,m,50,0.605467107
TCGA-GBM,m,60,0.600561944
TCGA-GBM,m,70,0.593291343
