CpG,Venn_category
cg00001099,Common
cg00001594,haEWAS-specific
cg00002033,Common
cg00025044,Common
cg00034336,Common
cg00035969,Common
cg00041401,Common
cg00041599,Common
cg00055359,Common
cg00057966,Common
cg00064020,Common
cg00066854,Common
cg00087884,Common
cg00088227,haEWAS-specific
cg00091004,Common
cg00091064,Common
cg00101457,Common
cg00106345,Common
cg00109764,Common
cg00113315,haEWAS-specific
cg00117599,haEWAS-specific
cg00118783,Common
cg00126889,Common
cg00135497,EWAS-specific
cg00142036,Common
cg00142257,Common
cg00147172,Common
cg00153919,Common
cg00156001,Common
cg00159523,EWAS-specific
cg00162806,Common
cg00164997,Common
cg00166216,Common
cg00171729,Common
cg00172849,EWAS-specific
cg00175838,EWAS-specific
cg00178119,Common
cg00191458,EWAS-specific
cg00197322,Common
cg00206233,Common
cg00215182,Common
cg00222472,Common
cg00233028,Common
cg00235484,Common
cg00240653,Common
cg00257775,Common
cg00268744,Common
cg00280758,haEWAS-specific
cg00287773,Common
cg00291213,Common
cg00291478,Common
cg00318947,Common
cg00320288,Common
cg00321288,Common
cg00326231,Common
cg00329615,Common
cg00332146,Common
cg00338928,haEWAS-specific
cg00340349,Common
cg00346326,haEWAS-specific
cg00355457,Common
cg00359365,Common
cg00363080,Common
cg00376735,EWAS-specific
cg00383136,EWAS-specific
cg00384847,Common
cg00400448,Common
cg00423364,Common
cg00424169,Common
cg00437360,Common
cg00439384,Common
cg00442282,EWAS-specific
cg00452882,Common
cg00453717,Common
cg00453938,haEWAS-specific
cg00463367,Common
cg00473916,Common
cg00476955,Common
cg00477302,Common
cg00481600,haEWAS-specific
cg00488091,Common
cg00495443,Common
cg00501467,Common
cg00501774,EWAS-specific
cg00502209,EWAS-specific
cg00502254,Common
cg00502509,Common
cg00505606,Common
cg00509451,Common
cg00510320,Common
cg00513941,Common
cg00514241,Common
cg00519553,haEWAS-specific
cg00524443,Common
cg00528492,EWAS-specific
cg00534022,Common
cg00539174,Common
cg00555456,Common
cg00561739,Common
cg00561775,EWAS-specific
cg00562553,Common
cg00574740,Common
cg00575665,Common
cg00577361,haEWAS-specific
cg00582562,Common
cg00584026,EWAS-specific
cg00587301,Common
cg00588297,Common
cg00589181,EWAS-specific
cg00591868,Common
cg00593607,Common
cg00593900,EWAS-specific
cg00594854,EWAS-specific
cg00608661,Common
cg00611789,Common
cg00619207,EWAS-specific
cg00621289,Common
cg00631221,EWAS-specific
cg00645579,EWAS-specific
cg00653312,EWAS-specific
cg00664406,Common
cg00675737,Common
cg00677334,Common
cg00679184,Common
cg00682096,Common
cg00700969,Common
cg00715197,Common
cg00720845,haEWAS-specific
cg00743788,EWAS-specific
cg00747647,haEWAS-specific
cg00754357,Common
cg00757207,Common
cg00759427,Common
cg00764217,Common
cg00765783,Common
cg00767496,Common
cg00769161,Common
cg00783712,Common
cg00792107,Common
cg00802237,Common
cg00805619,Common
cg00806138,haEWAS-specific
cg00806461,Common
cg00807464,Common
cg00810292,Common
cg00813509,Common
cg00816609,Common
cg00828556,Common
cg00835857,Common
cg00839584,Common
cg00842076,Common
cg00849148,haEWAS-specific
cg00849854,Common
cg00851377,EWAS-specific
cg00851518,Common
cg00864618,Common
cg00908571,Common
cg00916899,EWAS-specific
cg00921266,Common
cg00930618,EWAS-specific
cg00931644,Common
cg00934322,EWAS-specific
cg00940812,haEWAS-specific
