Dataset,Disease,Tissue,Cell_type,CpG,Direction
GSE157341,Liver Cancer,liver,Chol,cg00023808,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00049883,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00094518,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00131261,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00145489,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00198594,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00225067,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00263248,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00341297,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00371107,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00400915,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00423364,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00432454,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00440032,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00516678,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00541089,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00607154,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00750074,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00876704,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00913953,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00933153,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00966255,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00981443,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01053196,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01184522,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01291665,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01302201,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01311718,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01311971,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01330448,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01382688,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01428687,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01515741,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01714932,Hyper
