Pathway,Gene,CpG,EWAS_FDR,haEWAS_FDR
GO: Postsynapse organization,FGFR1,cg16625770,0.732790411599602,6.74447039862236e-05
GO: Postsynapse organization,UBE3B,cg23656224,0.242381988444629,0.0009607161729999
GO: Postsynapse organization,TREM2,cg00982521,0.121727144679534,0.0028767483214042
GO: Postsynapse organization,WASF2,cg00851518,0.311644103862419,0.0055854724357317
GO: Postsynapse organization,ITSN1,cg06287548,0.0702357331526411,0.0075915114175843
GO: Vesicle-mediated transport,CNN2,cg08681293,0.387130873513281,0.0037154942104816
GO: Vesicle-mediated transport,ATP6V0A4,cg21048168,0.0943444398341309,0.0062958190384064
GO: Vesicle-mediated transport,RAB5B,cg20054248,0.0842700662218372,0.0066860652465019
GO: Vesicle-mediated transport,SLC2A4,cg07148458,0.397882020460604,0.0070026697438455
GO: Vesicle-mediated transport,LAT2,cg19229215,0.170637966839801,0.0095535326775766
GO: Regulation of immune system process,SPPL2B,cg04173586,0.684393901196856,0.0002930268256992
GO: Regulation of immune system process,SKAP1,cg17873048,0.0896610993118233,0.0010079248972262
GO: Regulation of immune system process,IKBKB,cg16230352,0.734651386911412,0.0061319817696799
GO: Regulation of immune system process,SECTM1,cg15117681,0.0572568328369404,0.0110034025896649
GO: Regulation of immune system process,CD2,cg15891991,0.107555888087448,0.0128348898236898
GO: Cell activation,SBNO2,cg08681293,0.444459819552476,0.0058527888900749
GO: Cell activation,CD27,cg13298466,0.0636908321669351,0.0150330903565356
GO: Cell activation,BRD4,cg01062942,0.333228323337951,0.0164425672800973
GO: Cell activation,HDAC5,cg06238004,0.0602092159242131,0.0239680605621502
GO: Cell activation,CYGB,cg21486834,0.0503943973052115,0.0250797416529328
KEGG: Insulin signaling pathway,FASN,cg01731500,0.144537777738776,0.0027350463178448
KEGG: Insulin signaling pathway,MKNK2,cg04173586,0.666702859121864,0.0224984104470456
KEGG: Insulin signaling pathway,PRKAR1B,cg18185116,0.0948633413573634,0.0230850076499014
KEGG: Insulin signaling pathway,EXOC7,cg11241278,0.145336309575069,0.0311317265109976
KEGG: Insulin signaling pathway,INSR,cg02182476,0.05886433326183,0.0319629186006478
