CpG,Discovery_group
cg00218406,EWAS-specific
cg00340855,EWAS-specific
cg00533183,EWAS-specific
cg00796814,EWAS-specific
cg00798876,EWAS-specific
cg00971810,EWAS-specific
cg01079652,EWAS-specific
cg01082299,EWAS-specific
cg01117274,EWAS-specific
cg01190666,EWAS-specific
cg01474720,EWAS-specific
cg01502919,EWAS-specific
cg01517384,EWAS-specific
cg01952234,EWAS-specific
cg02331769,EWAS-specific
cg02566861,EWAS-specific
cg02732509,EWAS-specific
cg02770073,EWAS-specific
cg02776313,EWAS-specific
cg02925039,EWAS-specific
cg03306641,EWAS-specific
cg03438552,EWAS-specific
cg03716852,EWAS-specific
cg03811829,EWAS-specific
cg04005969,EWAS-specific
cg04613258,EWAS-specific
cg04927537,EWAS-specific
cg05328547,EWAS-specific
cg05439368,EWAS-specific
cg05715492,EWAS-specific
cg05726274,EWAS-specific
cg05933765,EWAS-specific
cg05991902,EWAS-specific
cg06175981,EWAS-specific
cg06448573,EWAS-specific
cg06471748,EWAS-specific
cg06830800,EWAS-specific
cg06868100,EWAS-specific
cg07116631,EWAS-specific
cg08099136,EWAS-specific
cg08157194,EWAS-specific
cg08276645,EWAS-specific
cg08818207,EWAS-specific
cg08926253,EWAS-specific
cg09090791,EWAS-specific
cg09329097,EWAS-specific
cg09736669,EWAS-specific
cg10003262,EWAS-specific
cg10295552,EWAS-specific
cg10311754,EWAS-specific
cg10556630,EWAS-specific
cg10653240,EWAS-specific
cg10660256,EWAS-specific
cg10734665,EWAS-specific
cg10753966,EWAS-specific
cg11397370,EWAS-specific
cg11402700,EWAS-specific
cg11661000,EWAS-specific
cg11791770,EWAS-specific
cg12013713,EWAS-specific
cg12556555,EWAS-specific
cg12588917,EWAS-specific
cg12858166,EWAS-specific
cg12924402,EWAS-specific
cg13181251,EWAS-specific
cg13403689,EWAS-specific
cg14003265,EWAS-specific
cg14293575,EWAS-specific
cg14750551,EWAS-specific
cg14790107,EWAS-specific
cg14977608,EWAS-specific
cg15013527,EWAS-specific
cg15645961,EWAS-specific
cg16152072,EWAS-specific
cg16186435,EWAS-specific
cg16785077,EWAS-specific
cg16894855,EWAS-specific
cg17052170,EWAS-specific
cg17159161,EWAS-specific
cg18808777,EWAS-specific
cg18915128,EWAS-specific
cg19087971,EWAS-specific
cg19507206,EWAS-specific
cg19576560,EWAS-specific
cg19719703,EWAS-specific
cg19809039,EWAS-specific
cg20039983,EWAS-specific
cg20045320,EWAS-specific
cg20463533,EWAS-specific
cg21686213,EWAS-specific
cg21755969,EWAS-specific
cg22016995,EWAS-specific
cg22367872,EWAS-specific
cg22731440,EWAS-specific
cg22940798,EWAS-specific
cg24137770,EWAS-specific
cg24387129,EWAS-specific
cg24426691,EWAS-specific
cg24746106,EWAS-specific
cg24917382,EWAS-specific
cg25124476,EWAS-specific
cg25629418,EWAS-specific
cg25657713,EWAS-specific
cg25843003,EWAS-specific
cg25962358,EWAS-specific
cg26392102,EWAS-specific
cg26727693,EWAS-specific
cg27099274,EWAS-specific
cg27331665,EWAS-specific
cg27563126,EWAS-specific
cg01765174,Common
cg02215171,Common
cg02370832,Common
cg02770313,Common
cg03110996,Common
cg03546163,Common
cg03848588,Common
cg04788999,Common
cg05543864,Common
cg06064964,Common
cg06085204,Common
cg06603074,Common
cg06970472,Common
cg07123796,Common
cg07136108,Common
cg07235805,Common
cg08090640,Common
cg08387293,Common
cg09013032,Common
cg09026253,Common
cg09168222,Common
cg09251764,Common
cg09701700,Common
cg11187245,Common
cg11211792,Common
cg11303842,Common
cg11317199,Common
cg11337289,Common
cg11601443,Common
cg11694510,Common
cg11842367,Common
cg12379452,Common
cg13687570,Common
cg14126601,Common
cg14191476,Common
cg14870223,Common
cg14870271,Common
cg15726154,Common
cg15746696,Common
cg16411857,Common
cg16526047,Common
cg16654432,Common
cg16796959,Common
