CpG,Gene,Discovery_group,EWAS_abs_estimate,haEWAS_abs_estimate
cg00675737,RP11-46C24.3,EWAS-specific,0.122073822688963,0.411561698018464
cg00945260,TPSAB1,EWAS-specific,0.20862396050355,0.800418519593612
cg01139039,KCNH2,EWAS-specific,0.0665142926104432,0.138799902453613
cg01405107,HOXB4,EWAS-specific,0.0096258061263863,0.0373567660440644
cg01405107,HOXB5,EWAS-specific,0.0074109389779558,0.0290601605334626
cg01408486,CXXC5,EWAS-specific,0.168893669156805,0.887142841280227
cg01496136,CCL17,EWAS-specific,0.0491466431869898,0.0592362928697204
cg01496136,RP11-407G23.4,EWAS-specific,0.0967027552548175,0.128586941684381
cg01571001,DNAJB8,EWAS-specific,0.0002456100568493,0.000425817297741
cg01688936,ITGAL,EWAS-specific,0.151786843810229,0.19245270156479
cg01731500,RFNG,EWAS-specific,0.120546163387636,0.106937228547009
cg01891818,FADS6,EWAS-specific,0.145765243233265,0.207403747925006
cg01891818,FDXR,EWAS-specific,0.123226141716954,0.173739609182079
cg02145668,SCNM1,EWAS-specific,0.0588428252237436,0.115654170386665
cg02156769,EDF1,EWAS-specific,0.120340349913563,0.267319359931007
cg02156769,TMEM203,EWAS-specific,0.114882722996625,0.400820361293153
cg02637537,C8orf58,EWAS-specific,0.0905477635988698,0.575360066682943
cg02637537,PDLIM2,EWAS-specific,0.118716670485125,0.60751624107207
cg02649613,FAM160B2,EWAS-specific,0.171866389286749,0.342684635429229
cg02768785,GPR4,EWAS-specific,0.365882276014658,0.600344243873864
cg02797539,FDXR,EWAS-specific,0.137058298727253,0.181104770681048
cg02984184,RP5-916O11.3,EWAS-specific,0.0023327693879464,0.0053600580258977
cg03887528,SP100,EWAS-specific,0.205163505238977,0.27016398515261
cg03908904,RANBP3,EWAS-specific,0.103120605232585,0.130698032020221
cg04063348,PKHD1,EWAS-specific,0.0056750967667438,0.0067462746282452
cg04177826,ARSA,EWAS-specific,0.0709231591819989,0.221454416066685
cg04177826,LMF2,EWAS-specific,0.0477660856086108,0.178179532947604
cg05037210,MAFG,EWAS-specific,0.0693533347872277,0.175015960371155
cg05118960,NAT6,EWAS-specific,0.249696671633654,0.602883915413901
cg05118960,SEMA3B,EWAS-specific,0.23604906648727,1.22067988416704
cg05157625,SLC24A4,EWAS-specific,0.0582952100670242,0.101273220338117
cg05210497,MALAT1,EWAS-specific,0.149198189234118,0.299915824496047
cg05210497,MRPL49,EWAS-specific,0.0663760081755496,0.128150126325433
cg05280698,ZNF793,EWAS-specific,0.0235787629901464,0.105568476795876
cg05886689,SHANK1,EWAS-specific,0.288520935366167,1.85460894902391
cg05974498,CTC-471J1.2,EWAS-specific,0.0592480274706007,0.249341313700892
cg06013494,CTD-2006K23.1,EWAS-specific,0.0285569753566268,0.0333936875088518
cg06189038,AZGP1P1,EWAS-specific,0.049238091808085,0.126707500327186
cg06238004,LSM12,EWAS-specific,0.0820847805929025,0.246676972412606
cg06275642,FBXO48,EWAS-specific,0.0328280167493319,0.0662178800539704
cg06409432,AP005273.1,EWAS-specific,0.0237469285680426,0.560154128386952
cg06489606,RP13-516M14.1,EWAS-specific,0.159104175856193,0.346925313325071
cg06811467,IL6R,EWAS-specific,0.119733060009679,2.65351791361083
cg07996594,RP11-84D1.2,EWAS-specific,0.0007332292956851,0.0184176130454188
cg08003321,SPDYE4,EWAS-specific,0.0112802278260964,0.0108659172909782
cg08025954,AP000356.2,EWAS-specific,0.0886643142151382,0.101682952513955
cg09039163,UBE2F,EWAS-specific,0.0747281818088307,0.0792427416978805
cg09290705,RP11-82L7.4,EWAS-specific,0.0234073816968008,0.0967035644651934
cg09482093,AC004448.5,EWAS-specific,0.0063170541237985,0.0474300319708389
cg09991306,AC104841.1,EWAS-specific,0.196819977797284,0.420038641307973
cg10095954,GSG2,EWAS-specific,0.0085695054708539,0.0112147824082112
cg10782575,ASCL2,EWAS-specific,0.0712047707533812,0.056088159996475
cg10937494,C17orf62,EWAS-specific,0.158721191307147,0.174789433436039
cg10937494,SLC16A3,EWAS-specific,0.291849790187958,0.322245526940021
cg11075316,RP11-227J5.3,EWAS-specific,0.0105873146210503,0.0165003844079905
cg11205312,PSMD4,EWAS-specific,0.0623477671844816,0.13813683695954
cg11532431,HOXA-AS2,EWAS-specific,0.0028220927947182,0.0104888834718903
cg12109823,MYBL1,EWAS-specific,0.0498920122035756,0.0762954346706223
cg12572625,AC005609.1,EWAS-specific,0.0327572124980967,0.0680833899550576
cg13172549,HNRNPA1P73,EWAS-specific,0.0208355484264079,0.0915246067689045
cg13298466,CD27-AS1,EWAS-specific,0.128537976690566,0.361725407110705
cg13519191,MIR433,EWAS-specific,0.0022496670835323,537907910.231072
cg13719228,CICP18,EWAS-specific,0.0962970552723291,0.16098067257734
cg13849066,ARL5C,EWAS-specific,0.104881333893157,0.130670105614555
cg14014506,ORM1,EWAS-specific,0.117415376914947,0.197281836480657
cg14063191,ZDHHC12,EWAS-specific,0.108730134232391,0.313803696807057
cg14171369,PGF,EWAS-specific,0.229519499896015,0.392681652896171
cg14171824,RP11-181G12.4,EWAS-specific,0.0032978622436516,0.0088517600681417
cg14661234,HES4,EWAS-specific,0.258571059430036,0.343475243234959
cg14661234,TNFRSF18,EWAS-specific,0.21664994518375,0.292562496956708
cg14730223,MAST3,EWAS-specific,0.0824760823831992,0.0935006215678004
cg14730223,PIK3R2,EWAS-specific,0.0953520797058013,0.0821891328037201
cg15196806,HOXA9,EWAS-specific,0.032355019978662,0.315725208627976
cg15329187,RBM17,EWAS-specific,0.184473730049689,0.386104002754296
cg15488009,ODF3L2,EWAS-specific,0.050069607586381,0.0377557290858818
cg15974867,AP000439.1,EWAS-specific,0.0493674311732821,0.052701634539585
cg17072519,SERPIND1,EWAS-specific,0.0807666699893439,0.107873655538085
cg17219660,PTPN7,EWAS-specific,0.117816117158819,0.543411849796335
cg17291767,U3,EWAS-specific,0.152214593174619,0.159443405930566
cg17977470,WRAP53,EWAS-specific,0.200780662343672,0.326483346856037
cg18535283,RPL5P34,EWAS-specific,0.0824867585861977,0.202156282351842
cg18596043,SYT17,EWAS-specific,0.117160599150792,0.114705978312367
cg18856478,MPL,EWAS-specific,0.0242783950513863,0.0500736455156306
cg18875357,C14orf79,EWAS-specific,0.151854749859611,0.197243418883072
